web-scraper-order,web-scraper-start-url,link to TV,link to TV-href,caracteristique,price,rating,marque
"1638026802-470","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","LG Smart LED Full HD TV 32"" Recepteur integré + USB + HDMI + HDR - 32LM6304.1 out of 5(22)2,599.00 Dhs2,699.00 Dhs4%","https://www.jumia.ma/lg-smart-led-tv-32-recepteur-integre-usb-hdmi-hdr-bluetooth-v5-32lm630-lg-mpg868756.html","LG Smart LED Full HD TV 32"" Recepteur integré + USB + HDMI + HDR - 32LM630","2,599.00 Dhs","4.1","LG"
"1638026331-289","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockSamsung 32N5300 - FULL HD SMART TV -   Noir4.1 out of 5(35)2,299.00 Dhs","https://www.jumia.ma/32n5300-full-hd-smart-tv-noir-samsung-mpg859063.html","Samsung 32N5300 - FULL HD SMART TV -   Noir","2,299.00 Dhs","4.1","Samsung"
"1638026281-270","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockSiera 32"" Smart TV Full HD – 32HDL288-SDS – Noir4.3 out of 5(3)2,999.00 Dhs","https://www.jumia.ma/siera-32-smart-tv-full-hd-32hdl288-sds-noir-17404270.html","Siera 32"" Smart TV Full HD – 32HDL288-SDS – Noir","2,999.00 Dhs","4.3","Siera"
"1638026727-441","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Visio TV 50"" Smart Android Original 9 - 4K UHD -Télécommande Vocale- Bluetooth - Support Mural4,499.00 Dhs5,000.00 Dhs10%","https://www.jumia.ma/visio-tv-50-smart-android-original-9-4k-uhd-telecommande-vocale-bluetooth-support-mural-42358359.html","Visio TV 50"" Smart Android Original 9 - 4K UHD -Télécommande Vocale- Bluetooth - Support Mural","4,499.00 Dhs","null","Visio"
"1638026507-357","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Gold Vision Téléviseur Led TV LED 32pouces RECEPTEUR INTEGERE2,250.00 Dhs","https://www.jumia.ma/gold-vision-televiseur-led-tv-led-32pouces-recepteur-integere-41838407.html","Gold Vision Téléviseur Led TV LED 32pouces RECEPTEUR INTEGERE","2,250.00 Dhs","null","Gold Vision"
"1638026923-516","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Mgs TV 32"" Pouces HD Led MGS + Cable HDMI Cadue - 3 HDMI - 1 VGA - 2 USB4.7 out of 5(3)1,576.05 Dhs2,099.00 Dhs25%","https://www.jumia.ma/tv-32-pouces-hd-led-mgs-cable-hdmi-cadue-3-hdmi-1-vga-2-usb-mgs-mpg960197.html","Mgs TV 32"" Pouces HD Led MGS + Cable HDMI Cadue - 3 HDMI - 1 VGA - 2 USB","1,576.05 Dhs","4.7","Mgs"
"1638026425-326","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Samsung 32"" LED HD -Satellite intégré - HDMI - TNT - USB + suport fix gratuit1,849.00 Dhs2,499.00 Dhs26%","https://www.jumia.ma/samsung-32-led-hd-satellite-integre-hdmi-tnt-usb-suport-fix-gratuit-40928252.html","Samsung 32"" LED HD -Satellite intégré - HDMI - TNT - USB + suport fix gratuit","1,849.00 Dhs","null","Samsung"
"1638026870-496","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Samsung 32"" Smart TV S5  RAPIDE AVEC ABONNEMENT SERVICE 12 MOIS5 out of 5(2)2,559.00 Dhs2,900.00 Dhs12%","https://www.jumia.ma/32-smart-tv-s5-rapide-avec-abonnement-service-12-mois-samsung-mpg924550.html","Samsung 32"" Smart TV S5  RAPIDE AVEC ABONNEMENT SERVICE 12 MOIS","2,559.00 Dhs","5","Samsung"
"1638026877-499","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Samsung TV 32"" SAMSUNG - LED HD - Satellite - HDMI - TNT - USB - 32N5000 - Support Mural -Garantie 1 ANS4.3 out of 5(22)1,999.00 Dhs2,899.00 Dhs31%offres à partir de","https://www.jumia.ma/tv-32-samsung-led-hd-satellite-hdmi-tnt-usb-32n5000-support-mural-garantie-1-ans-samsung-mpg869641.html","Samsung TV 32"" SAMSUNG - LED HD - Satellite - HDMI - TNT - USB - 32N5000 - Support Mural -Garantie 1 ANS","1,999.00 Dhs","4.3","Samsung"
"1638026659-415","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","Samsung TV 32""  LED HD Satellite integre 3HDMI TNT 2USB 32N5000 Support Mural -Garantie 12 MOIS1 out of 5(1)1,889.55 Dhs2,299.00 Dhs18%","https://www.jumia.ma/tv-32-samsung-led-hd-satellite-hdmi-tnt-usb-32n5000-support-mural-garantie-12-mois-samsung-mpg931232.html","Samsung TV 32""  LED HD Satellite integre 3HDMI TNT 2USB 32N5000 Support Mural -Garantie 12 MOIS","1,889.55 Dhs","1","Samsung"
