web-scraper-order,web-scraper-start-url,link to TV,link to TV-href,caracteristique,price,rating,marque
"1638026351-297","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","Expédié depuis l'étrangerElectric Guitar Toy Musical Play Kid Boy Gi Toddler Learning Electron Toy-Multicolor273.00 Dhs809.00 Dhs66%","https://www.jumia.ma/generic-electric-guitar-toy-musical-play-kid-boy-gi-toddler-learning-electron-toy-multicolor-43879277.html","Electric Guitar Toy Musical Play Kid Boy Gi Toddler Learning Electron Toy-Multicolor","273.00 Dhs","null","(Pas d'avis disponibles)"
"1638026890-504","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Samsung 32"" Smart Tv LED  HD TV avec Récepteur-SERIE 5-TNT-WIFI Intégré +Support Mural4.4 out of 5(45)2,539.00 Dhs3,549.00 Dhs28%","https://www.jumia.ma/32-smart-tv-led-hd-tv-avec-recepteur-serie-5-tnt-wifi-integre-32n5300-support-mural-samsung-mpg868123.html","Samsung 32"" Smart Tv LED  HD TV avec Récepteur-SERIE 5-TNT-WIFI Intégré +Support Mural","2,539.00 Dhs","4.4","Samsung"
"1638026974-536","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","LG TV 50 Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 50UP77505 out of 5(1)5,899.00 Dhs7,999.00 Dhs26%","https://www.jumia.ma/lg-tv-50-cinema-screen-design-4k-active-hdr-webos-smart-ai-thinq-50up7750-42374285.html","LG TV 50 Cinema Screen Design 4K Active HDR WebOS Smart AI ThinQ - 50UP7750","5,899.00 Dhs","5","LG"
"1638026588-388","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Samsung Tv 43AU9005 Crystal Processor 4K Smart tv serie 9 Bluetooth 20216,430.00 Dhs7,300.00 Dhs12%","https://www.jumia.ma/samsung-tv-43au9005-crystal-processor-4k-smart-tv-serie-9-bluetooth-2021-42382703.html","Samsung Tv 43AU9005 Crystal Processor 4K Smart tv serie 9 Bluetooth 2021","6,430.00 Dhs","null","Samsung"
"1638027017-552","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Samsung TV 55"" Smart 4K Crystal UHD - Série 7 - Bluetooth - Récepteur Intégré +TNT - Nouveau modèle6,989.00 Dhs7,899.00 Dhs12%","https://www.jumia.ma/samsung-tv-55-smart-4k-crystal-uhd-serie-7-bluetooth-recepteur-integre-tnt-nouveau-modele-43678656.html","Samsung TV 55"" Smart 4K Crystal UHD - Série 7 - Bluetooth - Récepteur Intégré +TNT - Nouveau modèle","6,989.00 Dhs","null","Samsung"
"1638026261-262","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockVisio TV LED 24″ FULL HD 1080p Récepteur intégré + TNT + Moniteur - garantie 1 an4.2 out of 5(61)1,299.00 Dhs","https://www.jumia.ma/visio-tv-led-24-full-hd-1080p-recepteur-integre-tnt-moniteur-garantie-1-an-31489890.html","Visio TV LED 24″ FULL HD 1080p Récepteur intégré + TNT + Moniteur - garantie 1 an","1,299.00 Dhs","4.2","Visio"
"1638026717-437","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Visio TV 55"" Smart Android Original 9 - 4K UHD -Télécommande Magic - Bluetooth5,399.00 Dhs6,499.00 Dhs17%","https://www.jumia.ma/visio-tv-55-smart-android-original-9-4k-uhd-telecommande-magic-bluetooth-41232657.html","Visio TV 55"" Smart Android Original 9 - 4K UHD -Télécommande Magic - Bluetooth","5,399.00 Dhs","null","Visio"
"1638027053-565","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","Saba SMART TV LED 50"" UHD SB50F352 Frameless4 out of 5(1)3,999.00 Dhs4,599.00 Dhs13%","https://www.jumia.ma/saba-smart-tv-led-50-uhd-sb50f352-frameless-41160577.html","Saba SMART TV LED 50"" UHD SB50F352 Frameless","3,999.00 Dhs","4","Saba"
"1638026573-382","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Samsung 32T5300 - HD SMART TV -   Noir2,299.00 Dhs3,000.00 Dhs23%","https://www.jumia.ma/samsung-32t5300-hd-smart-tv-noir-40828473.html","Samsung 32T5300 - HD SMART TV -   Noir","2,299.00 Dhs","null","Samsung"
"1638026734-444","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Boutique OfficielleSamsung TV 32"" LED Full HD - Satellite intégré - HDMI-TNT-USB - 32N5000 - Noir- Garantie2,390.00 Dhs","https://www.jumia.ma/samsung-tv-32-led-full-hd-satellite-integre-hdmi-tnt-usb-32n5000-noir-garantie-34078508.html","Samsung TV 32"" LED Full HD - Satellite intégré - HDMI-TNT-USB - 32N5000 - Noir- Garantie","2,390.00 Dhs","null","Samsung"
"1638026291-273","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockTelstar 40"" - HD SLIM Smart LED TV Aptoide - TNT intégré + Wireless Display + Ethernet4 out of 5(3)4,399.00 Dhs","https://www.jumia.ma/40-hd-slim-smart-led-tv-aptoide-tnt-integre-wireless-display-ethernet-telstar-mpg82872.html","Telstar 40"" - HD SLIM Smart LED TV Aptoide - TNT intégré + Wireless Display + Ethernet","4,399.00 Dhs","4","Telstar"
"1638026611-396","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","TCL Smart TV LED 40P Récepteur Full HD3,599.00 Dhs4,999.00 Dhs28%","https://www.jumia.ma/tcl-smart-tv-led-40p-recepteur-full-hd-41515354.html","TCL Smart TV LED 40P Récepteur Full HD","3,599.00 Dhs","null","TCL"
"1638026847-487","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Aiwa 50"" Smart TV JAPAN Android UHD 4K  Récepteur intégré  / TNT  20214,799.00 Dhs6,299.00 Dhs24%","https://www.jumia.ma/aiwa-50-smart-tv-japan-android-uhd-4k-recepteur-integre-tnt-2021-45359918.html","Aiwa 50"" Smart TV JAPAN Android UHD 4K  Récepteur intégré  / TNT  2021","4,799.00 Dhs","null","Aiwa"
"1638026817-475","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Vision 32"" SMART TV ANDROID 9 RAPIDE+ TÉLÉCOMMANDE Bleuthout MAGIC VOCAL MODEL 20204.3 out of 5(18)2,099.00 Dhs2,300.00 Dhs9%offres à partir de","https://www.jumia.ma/32-smart-tv-android-9-rapide-telecommande-bleuthout-magic-vocal-model-2020-vision-mpg878845.html","Vision 32"" SMART TV ANDROID 9 RAPIDE+ TÉLÉCOMMANDE Bleuthout MAGIC VOCAL MODEL 2020","2,099.00 Dhs","4.3","Vision"
"1638026314-282","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockSamsung 32"" LED HD Flat TV 32K4070 - Récepteur intégré - Noir4.2 out of 5(102)1,899.00 Dhs","https://www.jumia.ma/32-led-hd-flat-tv-32k4070-recepteur-integre-noir-samsung-mpg19006.html","Samsung 32"" LED HD Flat TV 32K4070 - Récepteur intégré - Noir","1,899.00 Dhs","4.2","Samsung"
"1638027003-547","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Revolution LED 32"" Slim Framless New Version récepteur intégré TNT HDMI USB - Garantie 1 an1,549.00 Dhs2,099.00 Dhs26%","https://www.jumia.ma/revolution-led-32-slim-framless-new-version-recepteur-integre-tnt-hdmi-usb-garantie-1-an-41423478.html","Revolution LED 32"" Slim Framless New Version récepteur intégré TNT HDMI USB - Garantie 1 an","1,549.00 Dhs","null","Revolution"
"1638026714-436","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","LCD Support de Bureau 10"" 27"" 15 kg249.00 Dhs399.00 Dhs38%","https://www.jumia.ma/generic-lcd-support-de-bureau-10-27-15-kg-45015059.html","LCD Support de Bureau 10"" 27"" 15 kg","249.00 Dhs","null","(Pas d'avis disponibles)"
"1638026930-519","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Hisense TV 32"" LED-32A5200PS LED HD Ready DV B-S2 USB 2.0 - HDMI - VGA /Noir4 out of 5(1)1,799.00 Dhs2,000.00 Dhs10%","https://www.jumia.ma/hisense-tv-32-led-32a5200ps-led-hd-ready-dv-b-s2-usb-2.0-hdmi-vga-noir-42056754.html","Hisense TV 32"" LED-32A5200PS LED HD Ready DV B-S2 USB 2.0 - HDMI - VGA /Noir","1,799.00 Dhs","4","Hisense"
"1638026644-409","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","XIAOMI Mi LED TV 4S 65 Téléviseur intelligent 4K AI7,890.00 Dhs8,990.00 Dhs12%","https://www.jumia.ma/xiaomi-mi-led-tv-4s-65-televiseur-intelligent-4k-ai-42149899.html","XIAOMI Mi LED TV 4S 65 Téléviseur intelligent 4K AI","7,890.00 Dhs","null","XIAOMI"
"1638026661-416","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","Samsung 32"" Smart Tv LED  Récepteur WIFI TNT USB HDMI4.2 out of 5(6)2,459.55 Dhs2,699.00 Dhs9%","https://www.jumia.ma/32-smart-tv-led-recepteur-wifi-tnt-usb-hdmi-samsung-mpg924551.html","Samsung 32"" Smart Tv LED  Récepteur WIFI TNT USB HDMI","2,459.55 Dhs","4.2","Samsung"
"1638026845-486","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Boutique OfficielleInfiniton 50"" UHD 4K SMART ANDROID TV INTV-50AF2300 - Avec récepteur intégrer5 out of 5(1)4,390.00 Dhs4,500.00 Dhs2%","https://www.jumia.ma/infiniton-50-uhd-4k-smart-android-tv-intv-50af2300-avec-recepteur-integrer-41112674.html","Infiniton 50"" UHD 4K SMART ANDROID TV INTV-50AF2300 - Avec récepteur intégrer","4,390.00 Dhs","5","Infiniton"
"1638026692-428","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","Samsung TV LED 40"" Mode hôtel - Noir - HG40EJ470MKX3,599.00 Dhs","https://www.jumia.ma/samsung-tv-led-40-mode-hotel-noir-hg40ej470mkx-44741603.html","Samsung TV LED 40"" Mode hôtel - Noir - HG40EJ470MKX","3,599.00 Dhs","null","Samsung"
"1638026491-352","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Samsung QLED 55Q80 , SERIE 810,999.00 Dhs13,000.00 Dhs15%","https://www.jumia.ma/samsung-qled-55q80-serie-8-43141808.html","Samsung QLED 55Q80 , SERIE 8","10,999.00 Dhs","null","Samsung"
"1638026908-511","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","LG 32"" LG Smart TV WEBOS +HDR+Recepteur integré + USB + HDMI+SCREEN MIRORRING5 out of 5(3)2,798.00 Dhs2,900.00 Dhs4%","https://www.jumia.ma/32-lg-smart-tv-webos-hdrrecepteur-integre-usb-hdmiscreen-mirorring-lg-mpg871782.html","LG 32"" LG Smart TV WEBOS +HDR+Recepteur integré + USB + HDMI+SCREEN MIRORRING","2,798.00 Dhs","5","LG"
"1638026981-539","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Mgs TV 32"" Pouces HD Led MGS Framless HDMI USB - Cable HDMI + Support mural Gratuit3 out of 5(2)1,599.00 Dhs2,099.00 Dhs24%","https://www.jumia.ma/mgs-tv-32-pouces-hd-led-mgs-framless-hdmi-usb-cable-hdmi-support-mural-gratuit-40930545.html","Mgs TV 32"" Pouces HD Led MGS Framless HDMI USB - Cable HDMI + Support mural Gratuit","1,599.00 Dhs","3","Mgs"
"1638026336-291","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockBoutique OfficielleRevolution 32"" LED FrameLess Design - Récepteur intégré et TNT - Noir - Garantie 1 an4 out of 5(301)1,649.00 Dhs1,999.00 Dhs18%","https://www.jumia.ma/led-32-slim-avec-recepteur-integre-et-tnt-garantie-1-an-revolution-mpg855943.html","Revolution 32"" LED FrameLess Design - Récepteur intégré et TNT - Noir - Garantie 1 an","1,649.00 Dhs","4","Revolution"
"1638027051-564","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","Samsung 32"" Smart Tv Rapide + Récepteur -TNT et WI-FI + Screen Mirroring - S5 32T53002,499.00 Dhs2,800.00 Dhs11%","https://www.jumia.ma/samsung-32-smart-tv-rapide-recepteur-tnt-et-wi-fi-screen-mirroring-s5-32t5300-42935628.html","Samsung 32"" Smart Tv Rapide + Récepteur -TNT et WI-FI + Screen Mirroring - S5 32T5300","2,499.00 Dhs","null","Samsung"
"1638026760-454","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Boutique OfficielleInfiniton 32"" HD LED TV INTV-32N310 - Avec récepteur intégrer1,799.00 Dhs1,999.00 Dhs10%","https://www.jumia.ma/infiniton-32-hd-led-tv-intv-32n310-avec-recepteur-integrer-41538735.html","Infiniton 32"" HD LED TV INTV-32N310 - Avec récepteur intégrer","1,799.00 Dhs","null","Infiniton"
"1638026457-339","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Revolution 32"" Smart TV Android  9.0 + Récepteur intégré + TNT Original 3HDMI 2USB VGA1,956.05 Dhs2,499.00 Dhs22%","https://www.jumia.ma/revolution-32-smart-tv-android-9.0-recepteur-integre-tnt-original-3hdmi-2usb-vga-39484573.html","Revolution 32"" Smart TV Android  9.0 + Récepteur intégré + TNT Original 3HDMI 2USB VGA","1,956.05 Dhs","null","Revolution"
"1638026681-424","https://www.jumia.ma/mlp-smart-tv/?page=5#catalog-listing","TCL TV LED 40P SMART RECEPTEUR3,455.00 Dhs3,999.00 Dhs14%","https://www.jumia.ma/tcl-tv-led-40p-smart-recepteur-42945113.html","TCL TV LED 40P SMART RECEPTEUR","3,455.00 Dhs","null","TCL"
"1638026448-335","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","En rupture de stockTornado TV TORNADO LED 24""  TNT / 2 HDMI / 1 USB / 1 VGA1,799.00 Dhs1,999.00 Dhs10%","https://www.jumia.ma/tv-tornado-led-24-tnt-2-hdmi-1-usb-1-vga-tornado-mpg1061092.html","Téléviseurs Led et Lcd","null","null","null"
"1638027091-580","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","FULLTECK LED TV 32"" T2S2C HD1 out of 5(1)1,399.00 Dhs2,099.00 Dhs33%","https://www.jumia.ma/fullteck-led-tv-32-t2s2c-hd-41160570.html","FULLTECK LED TV 32"" T2S2C HD","1,399.00 Dhs","1","FULLTECK"
"1638026859-492","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Elexia 40"" Full HD LED TV - FHD+ 40A5001 - Récepteur et TNT1,950.00 Dhs3,000.00 Dhs35%","https://www.jumia.ma/elexia-40-full-hd-led-tv-fhd-40a5001-recepteur-et-tnt-45395421.html","Elexia 40"" Full HD LED TV - FHD+ 40A5001 - Récepteur et TNT","1,950.00 Dhs","null","Elexia"
"1638026590-389","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Saba SMART TV LED 32"" SB32F151 Frameless2,299.00 Dhs2,590.00 Dhs11%","https://www.jumia.ma/saba-smart-tv-led-32-sb32f151-frameless-41160575.html","Saba SMART TV LED 32"" SB32F151 Frameless","2,299.00 Dhs","null","Saba"
"1638027099-583","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","Samsung Smart TV 55"" Téléviseur intelligent 4K UHD AU8000 (2021) Serie 8 - PC sur le téléviseur7,199.00 Dhs7,899.00 Dhs9%","https://www.jumia.ma/samsung-smart-tv-55-televiseur-intelligent-4k-uhd-au8000-2021-serie-8-pc-sur-le-televiseur-42604107.html","Samsung Smart TV 55"" Téléviseur intelligent 4K UHD AU8000 (2021) Serie 8 - PC sur le téléviseur","7,199.00 Dhs","null","Samsung"
"1638026309-280","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockUKA 55"" UHD - Smart TV - Haier Fabricant -  LE55K8000A - USB -  HDMI - Noir5 out of 5(3)5,999.00 Dhs","https://www.jumia.ma/55-uhd-smart-tv-haier-fabricant-le55k8000a-usb-hdmi-noir-uka-mpg837041.html","UKA 55"" UHD - Smart TV - Haier Fabricant -  LE55K8000A - USB -  HDMI - Noir","5,999.00 Dhs","5","UKA"
"1638026958-530","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Daiko LED 32 "" HD TV Récepteur intégré - Noir - LED32R7098K1,780.00 Dhs2,700.00 Dhs34%","https://www.jumia.ma/daiko-led-32-hd-tv-recepteur-integre-noir-led32r7098k-44350996.html","Daiko LED 32 "" HD TV Récepteur intégré - Noir - LED32R7098K","1,780.00 Dhs","null","Daiko"
"1638026773-459","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","LG TV Smart webOS FULL HD - USB - HDMI - TNT - Bluetooth intégré - Noir - 43LM63004.5 out of 5(4)4,169.00 Dhs4,999.00 Dhs17%offres à partir de","https://www.jumia.ma/tv-smart-webos-full-hd-usb-hdmi-tnt-bluetooth-integre-noir-43lm6300-lg-mpg846577.html","LG TV Smart webOS FULL HD - USB - HDMI - TNT - Bluetooth intégré - Noir - 43LM6300","4,169.00 Dhs","4.5","LG"
"1638026829-480","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Boutique OfficielleSamsung 75"" 4K UHD QLED Smart TV - 75Q60 - Noir39,990.00 Dhs","https://www.jumia.ma/samsung-75-4k-uhd-qled-smart-tv-75q60-noir-34164083.html","Samsung 75"" 4K UHD QLED Smart TV - 75Q60 - Noir","39,990.00 Dhs","null","Samsung"
"1638026311-281","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockBoutique OfficielleUKA 50"" - UHD - Smart TV - Haier Fabricant  -LE50K8000A - USB - HDMI - Noir4,999.00 Dhs","https://www.jumia.ma/uka-50-uhd-smart-tv-haier-fabricant-le50k8000a-usb-hdmi-noir-41630774.html","UKA 50"" - UHD - Smart TV - Haier Fabricant  -LE50K8000A - USB - HDMI - Noir","4,999.00 Dhs","null","UKA"
"1638026373-306","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","Expédié depuis l'étrangerBicycle Cyling Mountain Bike Sport Brake Holder Pads Shoes Blocks-black239.00 Dhs707.00 Dhs66%","https://www.jumia.ma/generic-bicycle-cyling-mountain-bike-sport-brake-holder-pads-shoes-blocks-black-43869351.html","Bicycle Cyling Mountain Bike Sport Brake Holder Pads Shoes Blocks-black","239.00 Dhs","null","(Pas d'avis disponibles)"
"1638026855-490","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Echolink Tv 32"" SMART 2021 ANDROID 9 OFFICIEL WIFI BLUETOOTH RECEPTEUR INTEGRE4.5 out of 5(2)2,109.00 Dhs2,599.00 Dhs19%","https://www.jumia.ma/echolink-tv-32-smart-2021-android-9-officiel-wifi-bluetooth-recepteur-integre-41280273.html","Echolink Tv 32"" SMART 2021 ANDROID 9 OFFICIEL WIFI BLUETOOTH RECEPTEUR INTEGRE","2,109.00 Dhs","4.5","Echolink"
"1638026840-484","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Visio 32'' SMART TV - ANDROID - Récepteur Intégré & TNT + Support Mural - Noir3.9 out of 5(209)2,097.00 Dhs2,999.00 Dhs30%offres à partir de","https://www.jumia.ma/smart-tv-32-android-recepteur-integre-tnt-usb-hdmi-visio-mpg843690.html","Visio 32'' SMART TV - ANDROID - Récepteur Intégré & TNT + Support Mural - Noir","2,097.00 Dhs","3.9","Visio"
"1638026940-523","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Samsung 32"" Smart Tv LED  HD TV avec Récepteur -SERIE 5- TNT & WIFI Intégré4.3 out of 5(204)2,289.00 Dhs3,549.00 Dhs36%offres à partir de","https://www.jumia.ma/32-smart-tv-led-hd-tv-avec-recepteur-serie-5-tnt-et-wifi-integre-32n5300-samsung-mpg84938.html","Samsung 32"" Smart Tv LED  HD TV avec Récepteur -SERIE 5- TNT & WIFI Intégré","2,289.00 Dhs","4.3","Samsung"
"1638026758-453","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","Vision LED 32"" VS-32LDA471B  avec récepteur intégré, USB-VGA-HDMI-PC AUDIO IN1- AV IN15 out of 5(3)1,599.00 Dhs1,899.00 Dhs16%offres à partir de","https://www.jumia.ma/led-32-vs-32lda471b-avec-recepteur-integre-usb-vga-hdmi-pc-audio-in1-av-in1-vision-mpg920439.html","Vision LED 32"" VS-32LDA471B  avec récepteur intégré, USB-VGA-HDMI-PC AUDIO IN1- AV IN1","1,599.00 Dhs","5","Vision"
"1638026271-266","https://www.jumia.ma/mlp-smart-tv/?page=9#catalog-listing","En rupture de stockTCL TV 32"" - Smart TV - LED - 32D2740 - Noir3.3 out of 5(9)2,890.00 Dhs","https://www.jumia.ma/tcl-tv-32-smart-tv-led-32d2740-noir-tcl-mpg91768.html","TCL TV 32"" - Smart TV - LED - 32D2740 - Noir","2,890.00 Dhs","3.3","TCL"
"1638026316-283","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockLG 55"" Ultra HD 4K 55UK6470PLC Smart LED TV - Noir9,719.00 Dhs","https://www.jumia.ma/lg-55-ultra-hd-4k-55uk6470plc-smart-led-tv-noir-21617602.html","LG 55"" Ultra HD 4K 55UK6470PLC Smart LED TV - Noir","9,719.00 Dhs","null","LG"
"1638027112-588","https://www.jumia.ma/mlp-smart-tv/?page=1#catalog-listing","XIAOMI Smart TV 32"" Android 9.0 HD - Bluetooth - Récepteur Intégré - DOLBY VISION - Screen Mirroring4.3 out of 5(3)2,389.00 Dhs3,999.00 Dhs40%","https://www.jumia.ma/xiaomi-smart-tv-32-android-9.0-hd-bluetooth-recepteur-integre-dolby-vision-screen-mirroring-42682519.html","XIAOMI Smart TV 32"" Android 9.0 HD - Bluetooth - Récepteur Intégré - DOLBY VISION - Screen Mirroring","2,389.00 Dhs","4.3","XIAOMI"
"1638026918-514","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Samsung 32"" Smart Tv LED  Récepteur WIFI TNT USB HDMI dernière génération de S54.5 out of 5(2)2,539.00 Dhs2,689.00 Dhs6%","https://www.jumia.ma/samsung-32-smart-tv-led-recepteur-wifi-tnt-usb-hdmi-derniere-generation-de-s5-38716040.html","Samsung 32"" Smart Tv LED  Récepteur WIFI TNT USB HDMI dernière génération de S5","2,539.00 Dhs","4.5","Samsung"
"1638026956-529","https://www.jumia.ma/mlp-smart-tv/?page=2#catalog-listing","Boutique OfficielleSamsung Smart TV 43"" Téléviseur intelligent 4K UHD AU7000 (2021) - PC sur le téléviseur3 out of 5(2)4,739.00 Dhs4,897.00 Dhs3%","https://www.jumia.ma/samsung-smart-tv-43-televiseur-intelligent-4k-uhd-au7000-2021-pc-sur-le-televiseur-41131301.html","Samsung Smart TV 43"" Téléviseur intelligent 4K UHD AU7000 (2021) - PC sur le téléviseur","4,739.00 Dhs","3","Samsung"
"1638026875-498","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Boutique OfficielleEcholink Android TV 55 4K UHD55U20A Android 9.0,Bluetooth,chromcast,google  assistant,Wifi(16Go, 2Go)5 out of 5(1)5,490.00 Dhs6,399.00 Dhs14%","https://www.jumia.ma/echolink-android-tv-55-4k-uhd55u20a-android-9.0bluetoothchromcastgoogle-assistantwifi16go-2go-40800612.html","Echolink Android TV 55 4K UHD55U20A Android 9.0,Bluetooth,chromcast,google  assistant,Wifi(16Go, 2Go)","5,490.00 Dhs","5","Echolink"
"1638026893-505","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Visio 40"" VISIO SMART TV ANDROID RAPIDE+FULL HD+RÉCEPTEUR+ TNT5 out of 5(2)2,639.00 Dhs3,900.00 Dhs32%","https://www.jumia.ma/visio-40-visio-smart-tv-android-rapidefull-hdrecepteur-tnt-32455078.html","Visio 40"" VISIO SMART TV ANDROID RAPIDE+FULL HD+RÉCEPTEUR+ TNT","2,639.00 Dhs","5","Visio"
"1638026353-298","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","Expédié depuis l'étrangerRubber Pad + Button + Spring + Screwdriver + Joystick Cap 20pc/ Sets For PS4-white+black267.00 Dhs791.00 Dhs66%","https://www.jumia.ma/generic-rubber-pad-button-spring-screwdriver-joystick-cap-20pc-sets-for-ps4-whiteblack-43892629.html","Rubber Pad + Button + Spring + Screwdriver + Joystick Cap 20pc/ Sets For PS4-white+black","267.00 Dhs","null","(Pas d'avis disponibles)"
"1638026502-355","https://www.jumia.ma/mlp-smart-tv/?page=6#catalog-listing","Samsung LED 43"" Smart TV UHD - Noir - UA43AU7000U5,290.00 Dhs","https://www.jumia.ma/samsung-led-43-smart-tv-uhd-noir-ua43au7000u-44741608.html","Samsung LED 43"" Smart TV UHD - Noir - UA43AU7000U","5,290.00 Dhs","null","Samsung"
"1638026786-464","https://www.jumia.ma/mlp-smart-tv/?page=4#catalog-listing","CHIQ U86H9i 86"" 4K LED TV UHD TV (8Go, 1.5Go)  Android P TNT + SATELLITE - Noir + SOUNDBAR INTEGRE19,900.00 Dhs21,900.00 Dhs9%","https://www.jumia.ma/chiq-u86h9i-86-4k-led-tv-uhd-tv-8go-1.5go-android-p-tnt-satellite-noir-soundbar-integre-40717748.html","CHIQ U86H9i 86"" 4K LED TV UHD TV (8Go, 1.5Go)  Android P TNT + SATELLITE - Noir + SOUNDBAR INTEGRE","19,900.00 Dhs","null","CHIQ"
"1638026299-276","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","En rupture de stockBrandt TV 32"" – HD LED – BAB32H5N – Noir4.2 out of 5(37)1,699.00 Dhs2,499.00 Dhs32%","https://www.jumia.ma/tv-32-hd-led-bab32h5n-noir-brandt-mpg10582.html","Brandt TV 32"" – HD LED – BAB32H5N – Noir","1,699.00 Dhs","4.2","Brandt"
"1638026827-479","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","XIAOMI Mi LED TV 4A  32"" (1.5Go, 8Go) Android 9.0 - Noir + support Mural2,199.00 Dhs2,800.00 Dhs21%","https://www.jumia.ma/xiaomi-mi-led-tv-4a-32-1.5go-8go-android-9.0-noir-support-mural-45395561.html","XIAOMI Mi LED TV 4A  32"" (1.5Go, 8Go) Android 9.0 - Noir + support Mural","2,199.00 Dhs","null","XIAOMI"
"1638026450-336","https://www.jumia.ma/mlp-smart-tv/?page=7#catalog-listing","Expédié depuis l'étrangerFashioable Automatic Self Watering Flower Plants Pot Put In Floor Gardening-black & White-130260.00 Dhs770.00 Dhs66%","https://www.jumia.ma/generic-fashioable-automatic-self-watering-flower-plants-pot-put-in-floor-gardening-black-white-130-43893345.html","Fashioable Automatic Self Watering Flower Plants Pot Put In Floor Gardening-black & White-130","260.00 Dhs","null","(Pas d'avis disponibles)"
"1638026888-503","https://www.jumia.ma/mlp-smart-tv/?page=3#catalog-listing","Samsung 32"" Smart Tv  Série 5 model  WI-FI+TNT+Récepteur+Sreen Mirorring3 out of 5(1)2,499.00 Dhs2,999.00 Dhs17%","https://www.jumia.ma/samsung-32-smart-tv-serie-5-model-wi-fitntrecepteursreen-mirorring-38228244.html","Samsung 32"" Smart Tv  Série 5 model  WI-FI+TNT+Récepteur+Sreen Mirorring","2,499.00 Dhs","3","Samsung"
"1638026348-296","https://www.jumia.ma/mlp-smart-tv/?page=8#catalog-listing","Expédié depuis l'étranger40W Multi-port USB LCD Display Power Adapter Wa315.00 Dhs630.00 Dhs50%","https://www.jumia.ma/generic-40w-multi-port-usb-lcd-display-power-adapter-wa-41766776.html","40W Multi-port USB LCD Display Power Adapter Wa","315.00 Dhs","null","(Pas d'avis disponibles)"
