web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,ratings
"1637688792-3027","https://www.jumia.ma/maquillage/?page=3#catalog-listing","Boutique OfficielleMaybelline New York Maybelline - Superstay anti-cernes haute couvrance 24h - MEDIUM 253.4 out of 5(5)Options disponibles:77.77 Dhs100.00 Dhs22%","https://www.jumia.ma/maybelline-new-york-maybelline-superstay-anti-cernes-haute-couvrance-24h-medium-25-33479059.html","Maybelline New York Maybelline - Superstay anti-cernes haute couvrance 24h - MEDIUM 25","77.77 Dhs","(5 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA596HB1KM9NDNAFAMZ/","null","3 out of 5"
"1637688880-3082","https://www.jumia.ma/maquillage/?page=2#catalog-listing","Boutique OfficielleMaybelline New York Maybelline - Poudre libre fixante translucide - Master Fix4.6 out of 5(10)93.32 Dhs120.00 Dhs22%","https://www.jumia.ma/maybelline-new-york-maybelline-poudre-libre-fixante-translucide-master-fix-32212058.html","Maybelline New York Maybelline - Poudre libre fixante translucide - Master Fix","93.32 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA310HB1EMASNNAFAMZ/","null","4 out of 5"
"1637688895-3093","https://www.jumia.ma/maquillage/?page=2#catalog-listing","Boutique OfficielleMaybelline New York Mascara Volume Total Temptation3.8 out of 5(18)74.00 Dhs100.00 Dhs26%","https://www.jumia.ma/maybelline-new-york-mascara-volume-total-temptation-32208860.html","Maybelline New York Mascara Volume Total Temptation","74.00 Dhs","(18 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA310HB043GTBNAFAMZ/","null","1 out of 5"
"1637687113-2329","https://www.jumia.ma/maquillage/?page=11#catalog-listing","Bh Cosmetics Set de 14 pinceaux visage et  yeux  + trousse 4.5 out of 5(38)96.89 Dhs","https://www.jumia.ma/set-de-14-pinceaux-visage-et-yeux-trousse-bh-cosmetics-mpg47196.html","Bh Cosmetics Set de 14 pinceaux visage et  yeux  + trousse","96.89 Dhs","(38 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BH300HB15R3EDNAFAMZ/","null","5 out of 5"
"1637689141-3271","https://www.jumia.ma/maquillage/?page=1#catalog-listing","Boutique OfficielleLabello Baume à Lèvres - Blackberry Shine - 4.8g4.5 out of 5(27)27.50 Dhs29.00 Dhs5%","https://www.jumia.ma/labello-baume-a-levres-blackberry-shine-4.8g-39165130.html","Labello Baume à Lèvres - Blackberry Shine - 4.8g","27.50 Dhs","(27 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA336ST01VNC1NAFAMZ/","null","5 out of 5"
"1637687966-2604","https://www.jumia.ma/maquillage/?page=7#catalog-listing","Technic MATTE MEGA BRONZE4.5 out of 5(4)47.00 Dhs","https://www.jumia.ma/technic-matte-mega-bronze-39199853.html","Technic MATTE MEGA BRONZE","47.00 Dhs","(4 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/TE505ST0LDFZTNAFAMZ/","null","5 out of 5"
"1637689095-3211","https://www.jumia.ma/maquillage/?page=1#catalog-listing","Boutique OfficielleMaybelline New York Maybelline - Crayon EyeStudio Master Drama Khôl Liner - DARK BROWN4.1 out of 5(20)44.00 Dhs59.49 Dhs26%","https://www.jumia.ma/maybelline-new-york-maybelline-crayon-eyestudio-master-drama-khol-liner-dark-brown-32212000.html","Maybelline New York Maybelline - Crayon EyeStudio Master Drama Khôl Liner - DARK BROWN","44.00 Dhs","(20 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA310HB000GDJNAFAMZ/","null","5 out of 5"
"1637688757-2992","https://www.jumia.ma/maquillage/?page=3#catalog-listing","Boutique OfficielleL'Oréal Paris Rouge à lèvres liquide Infaillible Chocolat - CANDY MAN 8424.1 out of 5(20)Options disponibles:79.33 Dhs100.00 Dhs21%","https://www.jumia.ma/loreal-paris-rouge-a-levres-liquide-infaillible-chocolat-candy-man-842-32209220.html","L'Oréal Paris Rouge à lèvres liquide Infaillible Chocolat - CANDY MAN 842","79.33 Dhs","(20 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BR590HB01D35BNAFAMZ/","null","5 out of 5"
"1637688672-2935","https://www.jumia.ma/maquillage/?page=3#catalog-listing","Boutique OfficielleGolden Rose CRAYON METALS 093.9 out of 5(9)Options disponibles:16.00 Dhs45.00 Dhs64%","https://www.jumia.ma/golden-rose-crayon-metals-09-35813833.html","Golden Rose CRAYON METALS 09","16.00 Dhs","(9 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GO870ST0K54TPNAFAMZ/","null","4 out of 5"
"1637685898-2122","https://www.jumia.ma/maquillage/?page=18#catalog-listing","Or Vernis Nail MADE IN ITALY3.6 out of 5(31)27.50 Dhs69.00 Dhs60%","https://www.jumia.ma/vernis-nail-made-in-italy-or-mpg875255.html","Or Vernis Nail MADE IN ITALY","27.50 Dhs","(31 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR044ST14SZYLNAFAMZ/","null","2 out of 5"
