web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,rating
"1637689487-3465","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Expédié depuis l'étrangerFashion Ladies Platform Slippers-Brown2.3 out of 5(3)190.00 Dhs360.00 Dhs47%","https://www.jumia.ma/fashion-ladies-platform-slippers-brown-41131524.html","Fashion Ladies Platform Slippers-Brown","190.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0PB7BUNAFAMZ/","null",""
"1637689327-3421","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Pas A Pas Sabot médicale pour femmes - Noir.4.6 out of 5(28)135.00 Dhs199.00 Dhs32%","https://www.jumia.ma/pas-a-pas-sabot-medicale-pour-femmes-noir.-24596735.html","Pas A Pas Sabot médicale pour femmes - Noir.","135.00 Dhs","(28 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/PA396FA0W0GUENAFAMZ/","null","5 out of 5"
"1637689955-3544","https://www.jumia.ma/chaussures-femmes/?page=44#catalog-listing","Chaussure bottine pour fille et femme. Noir3.8 out of 5(6)199.00 Dhs300.00 Dhs34%","https://www.jumia.ma/generic-chaussure-bottine-pour-fille-et-femme.-noir-37309629.html","Chaussure bottine pour fille et femme. Noir","199.00 Dhs","(6 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FA1J6OCLNAFAMZ/","null","4 out of 5"
"1637690458-3620","https://www.jumia.ma/chaussures-femmes/?page=41#catalog-listing","Pas A Pas Sandale médicale pour femmes - NOIR3 out of 5(2)130.00 Dhs219.00 Dhs41%","https://www.jumia.ma/sandale-medicale-pour-femmes-noir-pas-a-pas-mpg952160.html","Pas A Pas Sandale médicale pour femmes - NOIR","130.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/PA396FS00A1QCNAFAMZ/","null","5 out of 5"
"1637690926-3731","https://www.jumia.ma/chaussures-femmes/?page=38#catalog-listing","Expédié depuis l'étrangerFashion Ladies fashion sandals - Black3.1 out of 5(16)148.00 Dhs350.00 Dhs58%","https://www.jumia.ma/fashion-ladies-fashion-sandals-black-38995264.html","Fashion Ladies fashion sandals - Black","148.00 Dhs","(16 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA0RJIFJNAFAMZ/","null",""
"1637689955-3546","https://www.jumia.ma/chaussures-femmes/?page=44#catalog-listing","Chaussure bottine pour fille et femme. Noir3.8 out of 5(6)199.00 Dhs300.00 Dhs34%","https://www.jumia.ma/generic-chaussure-bottine-pour-fille-et-femme.-noir-37309629.html","Chaussure bottine pour fille et femme. Noir","199.00 Dhs","(6 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FA1J6OCLNAFAMZ/","null",""
"1637689949-3543","https://www.jumia.ma/chaussures-femmes/?page=44#catalog-listing","INTENSE - Baskets Basse pour Femme .3.7 out of 5(18)95.20 Dhs340.00 Dhs - 840.00 Dhs89%","https://www.jumia.ma/generic-intense-baskets-basse-pour-femme-.-34301184.html","INTENSE - Baskets Basse pour Femme .","95.20 Dhs","(18 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FA0SN66FNAFAMZ/","null",""
"1637689886-3531","https://www.jumia.ma/chaussures-femmes/?page=44#catalog-listing","Expédié depuis l'étrangerFashion New Female Casual Outdoor Shoes Black4 out of 5(1)190.00 Dhs380.00 Dhs50%","https://www.jumia.ma/fashion-new-female-casual-outdoor-shoes-black-31544373.html","Fashion New Female Casual Outdoor Shoes Black","190.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FS0M8F7LNAFAMZ/","null","4 out of 5"
"1637691276-3797","https://www.jumia.ma/chaussures-femmes/?page=36#catalog-listing","Bottines fourrées noir pour femmes5 out of 5(2)159.00 Dhs - 169.00 Dhs299.00 Dhs47%","https://www.jumia.ma/generic-bottines-fourrees-noir-pour-femmes-37331188.html","Bottines fourrées noir pour femmes","159.00 Dhs - 169.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232FA1GGKPPNAFAMZ/","null","5 out of 5"
"1637689744-3502","https://www.jumia.ma/chaussures-femmes/?page=45#catalog-listing","Boutique OfficielleOKZA Bottine courte Daim à Talon Épais - أحذية كعب سميك قصير للمرأة.3.7 out of 5(3)173.00 Dhs - 173.25 Dhs175.00 Dhs - 400.00 Dhs57%","https://www.jumia.ma/okza-bottine-courte-daim-a-talon-epais-.-37435244.html","OKZA Bottine courte Daim à Talon Épais - أحذية كعب سميك قصير للمرأة.","173.00 Dhs - 173.25 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA0QCI75NAFAMZ/","null","5 out of 5"
"1637691301-3802","https://www.jumia.ma/chaussures-femmes/?page=36#catalog-listing","Boutique OfficielleOKZA Ballerine Pour Femme - Marron3.9 out of 5(27)97.00 Dhs98.00 Dhs1%","https://www.jumia.ma/okza-ballerine-pour-femme-marron-31189268.html","OKZA Ballerine Pour Femme - Marron","97.00 Dhs","(27 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA1FDO1TNAFAMZ/","null","5 out of 5"
"1637690752-3677","https://www.jumia.ma/chaussures-femmes/?page=39#catalog-listing","Expédié depuis l'étrangerFashion Women Winter Chunky Chelsea Booties Mid Heel Wedge Ankle Boots Leather Shoes2.7 out of 5(3)155.00 Dhs186.00 Dhs17%","https://www.jumia.ma/women-winter-chunky-chelsea-booties-mid-heel-wedge-ankle-boots-leather-shoes-fashion-mpg741673.html","Fashion Women Winter Chunky Chelsea Booties Mid Heel Wedge Ankle Boots Leather Shoes","155.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA032FA012DLKNAFAMZ/","null","4 out of 5"
"1637689577-3481","https://www.jumia.ma/chaussures-femmes/?page=46#catalog-listing","Boutique OfficielleBUTIGO BOTTES FEMME - NOIR4.6 out of 5(8)304.00 Dhs439.00 Dhs31%","https://www.jumia.ma/butigo-bottes-femme-noir-38205628.html","BUTIGO BOTTES FEMME - NOIR","304.00 Dhs","(8 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BU578FS1D7HD7NAFAMZ/","null","5 out of 5"
"1637689369-3453","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Boutique OfficielleOKZA Ballerine Femme - Rouge4.7 out of 5(10)98.00 Dhs - 98.01 Dhs99.00 Dhs - 250.00 Dhs61%","https://www.jumia.ma/okza-ballerine-femme-rouge-26940915.html","OKZA Ballerine Femme - Rouge","98.00 Dhs - 98.01 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA0UWI4INAFAMZ/","null",""
"1637689369-3452","https://www.jumia.ma/chaussures-femmes/?page=47#catalog-listing","Boutique OfficielleOKZA Ballerine Femme - Rouge4.7 out of 5(10)98.00 Dhs - 98.01 Dhs99.00 Dhs - 250.00 Dhs61%","https://www.jumia.ma/okza-ballerine-femme-rouge-26940915.html","OKZA Ballerine Femme - Rouge","98.00 Dhs - 98.01 Dhs","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OK734FA0UWI4INAFAMZ/","null","5 out of 5"
