web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,image-src,link to reviews,link to reviews-href,rating
"1637694062-3905","https://www.jumia.ma/parfums-femme/?page=49#catalog-listing","Rasasi Nafaeis Al Shaghaf pour Homme - 100 ml2 out of 5(2)449.00 Dhs599.00 Dhs25%","https://www.jumia.ma/nafaeis-al-shaghaf-pour-homme-100-ml-rasasi-mpg870477.html","Rasasi Nafaeis Al Shaghaf pour Homme - 100 ml","449.00 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RA032HB18EM9TNAFAMZ/","(0)"
"1637696238-4040","https://www.jumia.ma/parfums-femme/?page=32#catalog-listing","Avon Pack parfum Tomorrow + Crème pour le corps4.6 out of 5(5)145.00 Dhsoffres à partir de","https://www.jumia.ma/pack-parfum-tomorrow-creme-pour-le-corps-avon-mpg840076.html","Avon Pack parfum Tomorrow + Crème pour le corps","145.00 Dhs","null","(5 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF0Q4CJSNAFAMZ/","(4)"
"1637696073-4030","https://www.jumia.ma/parfums-femme/?page=33#catalog-listing","Lattafa ROUAR AL OUD 100Ml Eau de Parfum3.8 out of 5(9)135.00 Dhsoffres à partir de","https://www.jumia.ma/rouar-al-oud-100ml-eau-de-parfum-lattafa-mpg40873.html","Lattafa ROUAR AL OUD 100Ml Eau de Parfum","135.00 Dhs","null","(9 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA942HB0O2MP6NAFAMZ/","(3)"
"1637697270-4119","https://www.jumia.ma/parfums-femme/?page=24#catalog-listing","Oriflame Eclat Mon Parfum4.3 out of 5(7)197.99 Dhs1,299.99 Dhs85%offres à partir de","https://www.jumia.ma/eclat-mon-parfum-oriflame-mpg57687.html","Oriflame Eclat Mon Parfum","197.99 Dhs","null","(7 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143HB0EQAOANAFAMZ/","(4)"
"1637694470-3931","https://www.jumia.ma/parfums-femme/?page=46#catalog-listing","SULTANE DE SABA Bois de Oud4 out of 5(1)980.00 Dhs1,280.00 Dhs23%","https://www.jumia.ma/sultane-de-saba-bois-de-oud-38165745.html","SULTANE DE SABA Bois de Oud","980.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/SU693PF0WLM53NAFAMZ/","(0)"
"1637696360-4050","https://www.jumia.ma/parfums-femme/?page=31#catalog-listing","Avon Coffret Attraction Sensation Parfum + crème parfumé+ spray pour femme5 out of 5(1)189.99 Dhs899.99 Dhs79%","https://www.jumia.ma/avon-coffret-attraction-sensation-parfum-creme-parfume-spray-pour-femme-38405483.html","Avon Coffret Attraction Sensation Parfum + crème parfumé+ spray pour femme","189.99 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168ST0MW4KZNAFAMZ/","(1)"
"1637695583-4001","https://www.jumia.ma/parfums-femme/?page=37#catalog-listing","Serge Lutens Ambre Sultan (unisex) - Eau de Parfum - 50ml5 out of 5(1)1,038.51 Dhs1,149.00 Dhs10%offres à partir de","https://www.jumia.ma/ambre-sultan-unisex-eau-de-parfum-50ml-serge-lutens-mpg998797.html","Serge Lutens Ambre Sultan (unisex) - Eau de Parfum - 50ml","1,038.51 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/SE889PF07JS6YNAFAMZ/","(1)"
"1637695425-3991","https://www.jumia.ma/parfums-femme/?page=38#catalog-listing","Avon Little Black Dress Eau de Parfum pour femme chic et attirant - 50ml5 out of 5(1)99.99 Dhs799.99 Dhs88%offres à partir de","https://www.jumia.ma/little-black-dress-eau-de-parfum-pour-femme-chic-et-attirant-50ml-avon-mpg1023479.html","Avon Little Black Dress Eau de Parfum pour femme chic et attirant - 50ml","99.99 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF0TDPK2NAFAMZ/","(1)"
"1637695696-4008","https://www.jumia.ma/parfums-femme/?page=36#catalog-listing","Nanine intense paris - 100 ml4.5 out of 5(2)117.99 Dhsoffres à partir de","https://www.jumia.ma/nanine-intense-paris-100-ml-nanine-mpg57531.html","Nanine intense paris - 100 ml","117.99 Dhs","null","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/NA741HB1EGLJINAFAMZ/","(1)"
"1637695711-4009","https://www.jumia.ma/parfums-femme/?page=36#catalog-listing","Jean Paul Gaultier EAU DE PARFUM À VAPORISER SCANDAL BY NIGHT  80ml4.7 out of 5(6)1,199.00 Dhs1,299.00 Dhs8%","https://www.jumia.ma/eau-de-parfum-a-vaporiser-scandal-by-night-80ml-jean-paul-gaultier-mpg842383.html","Jean Paul Gaultier EAU DE PARFUM À VAPORISER SCANDAL BY NIGHT  80ml","1,199.00 Dhs","null","(6 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/JE875HB19ZBXTNAFAMZ/","(4)"
